open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
190.5,191.19,189.78,190.54,38321242.0,191.19,189.78,190.54,190.5,41342338.0,1.0,0.0,AAPL,XNAS,2023-07-13
189.68,191.7,188.47,189.77,55924932.0,191.7,188.47,189.77,189.68,60750248.0,1.0,0.0,AAPL,XNAS,2023-07-12
189.16,189.28,186.6,188.08,46509718.0,189.3,186.6,188.08,189.16,46638119.0,1.0,0.0,AAPL,XNAS,2023-07-11
189.26,189.99,187.035,188.61,59832710.0,189.99,187.035,188.61,189.26,59922163.0,1.0,0.0,AAPL,XNAS,2023-07-10
191.41,192.67,190.24,190.68,46778000.0,192.67,190.24,190.68,191.41,46814998.0,1.0,0.0,AAPL,XNAS,2023-07-07
189.84,192.018,189.21,191.81,44773779.0,192.02,189.2,191.81,189.84,45156009.0,1.0,0.0,AAPL,XNAS,2023-07-06
191.565,192.98,190.62,191.33,46358709.0,192.98,190.62,191.33,191.565,46920261.0,1.0,0.0,AAPL,XNAS,2023-07-05
193.78,193.88,191.76,192.46,31458198.0,193.88,191.76,192.46,193.78,31458198.0,1.0,0.0,AAPL,XNAS,2023-07-03
191.63,194.48,191.26,193.97,85069600.0,194.48,191.26,193.97,191.63,85213216.0,1.0,0.0,AAPL,XNAS,2023-06-30
189.08,190.07,188.94,189.59,45331827.0,190.07,188.94,189.59,189.08,46347308.0,1.0,0.0,AAPL,XNAS,2023-06-29
187.93,189.9,187.6,189.25,48829939.0,189.9,187.6,189.25,187.93,51216801.0,1.0,0.0,AAPL,XNAS,2023-06-28
185.89,188.3899,185.67,188.06,46982317.0,188.39,185.67,188.06,185.89,50730846.0,1.0,0.0,AAPL,XNAS,2023-06-27
186.83,188.05,185.23,185.27,47977400.0,188.05,185.23,185.27,186.83,48088661.0,1.0,0.0,AAPL,XNAS,2023-06-26
185.55,187.56,185.01,186.68,53079300.0,187.56,185.01,186.68,185.55,53116996.0,1.0,0.0,AAPL,XNAS,2023-06-23
183.74,187.05,183.67,187.0,51245300.0,187.045,183.67,187.0,183.74,51245327.0,1.0,0.0,AAPL,XNAS,2023-06-22
184.9,185.41,182.59,183.96,49515700.0,185.41,182.5901,183.96,184.9,49515697.0,1.0,0.0,AAPL,XNAS,2023-06-21
184.41,186.1,184.41,185.01,49799100.0,186.1,184.41,185.01,184.41,49799092.0,1.0,0.0,AAPL,XNAS,2023-06-20
186.73,186.99,184.27,184.92,101235600.0,186.99,184.27,184.92,186.73,101256225.0,1.0,0.0,AAPL,XNAS,2023-06-16
183.96,186.52,183.78,186.01,65433200.0,186.52,183.78,186.01,183.96,65433166.0,1.0,0.0,AAPL,XNAS,2023-06-15
183.37,184.39,182.02,183.95,57462879.0,184.39,182.02,183.95,183.37,57462882.0,1.0,0.0,AAPL,XNAS,2023-06-14
182.8,184.15,182.44,183.31,54929129.0,184.15,182.44,183.31,182.8,54929129.0,1.0,0.0,AAPL,XNAS,2023-06-13
181.27,183.89,180.97,183.79,54755000.0,183.89,180.97,183.79,181.27,54754995.0,1.0,0.0,AAPL,XNAS,2023-06-12
181.5,182.23,180.63,180.96,48870700.0,182.23,180.63,180.96,181.5,48899973.0,1.0,0.0,AAPL,XNAS,2023-06-09
177.9,180.84,177.46,180.57,50214900.0,180.84,177.46,180.57,177.895,50214881.0,1.0,0.0,AAPL,XNAS,2023-06-08
178.44,181.21,177.32,177.82,61944600.0,181.21,177.32,177.82,178.44,61944615.0,1.0,0.0,AAPL,XNAS,2023-06-07
179.97,180.12,177.43,179.21,64848400.0,180.12,177.43,179.21,179.965,64848374.0,1.0,0.0,AAPL,XNAS,2023-06-06
182.63,184.95,178.04,179.58,121946500.0,184.951,178.035,179.58,182.63,121946497.0,1.0,0.0,AAPL,XNAS,2023-06-05
181.03,181.78,179.26,180.95,61945900.0,181.78,179.26,180.95,181.03,61996913.0,1.0,0.0,AAPL,XNAS,2023-06-02
177.7,180.12,176.93,180.09,68901800.0,180.12,176.9306,180.09,177.7,68901809.0,1.0,0.0,AAPL,XNAS,2023-06-01
177.33,179.35,176.76,177.25,99625300.0,179.35,176.76,177.25,177.325,99313268.0,1.0,0.0,AAPL,XNAS,2023-05-31
176.96,178.99,176.57,177.3,55964400.0,178.99,176.57,177.3,176.96,55964401.0,1.0,0.0,AAPL,XNAS,2023-05-30
173.32,175.77,173.11,175.43,54794100.0,175.77,173.11,175.43,173.32,54834975.0,1.0,0.0,AAPL,XNAS,2023-05-26
172.41,173.9,171.69,172.99,56058300.0,173.895,171.69,172.99,172.41,56058258.0,1.0,0.0,AAPL,XNAS,2023-05-25
171.09,172.42,170.52,171.84,45143500.0,172.4183,170.52,171.84,171.09,45143488.0,1.0,0.0,AAPL,XNAS,2023-05-24
173.13,173.38,171.28,171.56,50747300.0,173.3794,171.275,171.56,173.13,50747263.0,1.0,0.0,AAPL,XNAS,2023-05-23
173.98,174.71,173.45,174.2,43570900.0,174.71,173.45,174.2,173.98,43570932.0,1.0,0.0,AAPL,XNAS,2023-05-22
176.39,176.39,174.94,175.16,55772400.0,176.39,174.94,175.16,176.39,55809475.0,1.0,0.0,AAPL,XNAS,2023-05-19
173.0,175.24,172.58,175.05,65496700.0,175.24,172.58,175.05,173.0,65496657.0,1.0,0.0,AAPL,XNAS,2023-05-18
171.71,172.93,170.42,172.69,57951600.0,172.925,170.4201,172.69,171.71,57951604.0,1.0,0.0,AAPL,XNAS,2023-05-17
171.99,173.14,171.8,172.07,42110300.0,173.1383,171.7991,172.07,171.99,42110293.0,1.0,0.0,AAPL,XNAS,2023-05-16
173.16,173.21,171.47,172.07,37266700.0,173.21,171.47,172.07,173.16,37266659.0,1.0,0.0,AAPL,XNAS,2023-05-15
173.62,174.06,171.0,172.57,45497800.0,174.06,171.0,172.57,173.62,45533138.0,1.0,0.24,AAPL,XNAS,2023-05-12
173.85,174.59,172.17,173.75,49514700.0,174.3475279208,171.9308888375,173.51,173.6085556391,49514676.0,1.0,0.0,AAPL,XNAS,2023-05-11
173.02,174.03,171.9,173.56,53724500.0,173.7883056536,171.6612638158,173.3203,172.7797083502,53724501.0,1.0,0.0,AAPL,XNAS,2023-05-10
173.05,173.54,171.6,171.77,45326900.0,173.2989861698,171.3616804583,171.5327,172.809666686,45326874.0,1.0,0.0,AAPL,XNAS,2023-05-09
172.48,173.85,172.11,173.5,55962800.0,173.6085556391,171.870972166,173.2603,172.2404583068,55962793.0,1.0,0.0,AAPL,XNAS,2023-05-08
170.98,174.3,170.76,173.57,113316400.0,174.0579306753,170.5228470575,173.3302,170.7375484636,113453171.0,1.0,0.0,AAPL,XNAS,2023-05-05
164.89,167.04,164.31,165.79,81235400.0,166.8080134251,164.0818048724,165.561,164.6609993635,81235427.0,1.0,0.0,AAPL,XNAS,2023-05-04
169.5,170.92,167.16,167.45,65136000.0,170.6826248481,166.9278467681,167.2187,169.2645969562,65136018.0,1.0,0.0,AAPL,XNAS,2023-05-03
170.09,170.35,167.54,168.54,48425700.0,170.113416469,167.3073190209,168.3072,169.8537775592,48425696.0,1.0,0.0,AAPL,XNAS,2023-05-02
169.28,170.45,168.64,169.59,52472900.0,170.2132775881,168.4057913315,169.3557,169.0449024941,52472936.0,1.0,0.0,AAPL,XNAS,2023-05-01
168.49,169.85,167.88,169.68,55209200.0,169.85,167.8801,169.68,168.49,55275851.0,1.0,0.0,AAPL,XNAS,2023-04-28
165.19,168.56,165.19,168.41,64524702.0,168.56,165.19,168.41,165.19,64902329.0,1.0,0.0,AAPL,XNAS,2023-04-27
163.06,165.28,162.8,163.76,45425700.0,165.28,162.8,163.76,163.055,44105745.0,1.0,0.0,AAPL,XNAS,2023-04-26
165.19,166.3,163.73,163.77,48714063.0,166.305,163.73,163.77,165.19,48714063.0,1.0,0.0,AAPL,XNAS,2023-04-25
165.05,165.6,163.9,165.33,41949581.0,165.6,163.89,165.33,165.0,41949581.0,1.0,0.0,AAPL,XNAS,2023-04-24
165.05,166.45,164.49,165.02,58311900.0,166.4521,164.49,165.02,165.05,58337341.0,1.0,0.0,AAPL,XNAS,2023-04-21
166.09,167.87,165.56,166.65,52456377.0,167.87,165.56,166.65,166.09,52456377.0,1.0,0.0,AAPL,XNAS,2023-04-20
165.8,168.16,165.54,167.63,47720166.0,168.16,165.54,167.63,165.8,47720166.0,1.0,0.0,AAPL,XNAS,2023-04-19
166.1,167.41,165.65,166.47,49923008.0,167.41,165.65,166.47,166.1,49923008.0,1.0,0.0,AAPL,XNAS,2023-04-18
165.09,165.39,164.03,165.23,38730570.0,165.39,164.03,165.23,165.09,40713618.0,1.0,0.0,AAPL,XNAS,2023-04-17
164.59,166.32,163.82,165.21,49337200.0,166.32,163.82,165.21,164.59,49386480.0,1.0,0.0,AAPL,XNAS,2023-04-14
161.63,165.8,161.44,165.56,68445649.0,165.8,161.42,165.56,161.63,68445649.0,1.0,0.0,AAPL,XNAS,2023-04-13
161.22,162.06,159.78,160.1,50133062.0,162.06,159.78,160.1,161.22,50133062.0,1.0,0.0,AAPL,XNAS,2023-04-12
162.35,162.36,160.51,160.8,47507081.0,162.36,160.51,160.8,162.35,47644217.0,1.0,0.0,AAPL,XNAS,2023-04-11
161.42,162.03,160.08,162.03,47716882.0,162.03,160.08,162.03,161.42,47716882.0,1.0,0.0,AAPL,XNAS,2023-04-10
162.43,164.9584,162.0,164.66,45390123.0,164.9584,162.0,164.66,162.43,45390123.0,1.0,0.0,AAPL,XNAS,2023-04-06
164.74,165.05,161.8,163.76,50263014.0,165.05,161.8,163.76,164.74,51511744.0,1.0,0.0,AAPL,XNAS,2023-04-05
166.595,166.83,165.11,165.63,46278295.0,166.84,165.11,165.63,166.595,46278295.0,1.0,0.0,AAPL,XNAS,2023-04-04
164.27,166.29,164.27,166.17,54888988.0,166.29,164.22,166.17,164.27,56976187.0,1.0,0.0,AAPL,XNAS,2023-04-03
162.44,165.0,161.91,164.9,68694700.0,165.0,161.91,164.9,162.44,68749792.0,1.0,0.0,AAPL,XNAS,2023-03-31
161.53,162.47,161.271,162.36,44935963.0,162.47,161.271,162.36,161.53,49501689.0,1.0,0.0,AAPL,XNAS,2023-03-30
159.37,161.04,159.35,160.77,48914471.0,161.05,159.35,160.77,159.37,51305691.0,1.0,0.0,AAPL,XNAS,2023-03-29
