open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
320.03,322.72,315.25,315.26,30797200.0,322.72,315.25,315.26,320.03,30797173.0,1.0,0.0,MSFT,XNAS,2023-05-23
318.6,322.59,318.01,321.18,24115700.0,322.59,318.01,321.18,318.6,24115664.0,1.0,0.0,MSFT,XNAS,2023-05-22
316.74,318.75,316.37,318.34,27529500.0,318.75,316.37,318.34,316.74,27546701.0,1.0,0.0,MSFT,XNAS,2023-05-19
314.53,319.04,313.72,318.52,27276000.0,319.04,313.72,318.52,314.53,27275991.0,1.0,0.0,MSFT,XNAS,2023-05-18
312.29,314.43,310.74,314.0,24315000.0,314.43,310.74,314.0,312.29,24315012.0,1.0,0.68,MSFT,XNAS,2023-05-17
309.83,313.71,309.83,311.74,26730300.0,313.0320960976,309.1604804881,311.06,309.1604804881,26730347.0,1.0,0.0,MSFT,XNAS,2023-05-16
309.1,309.9,307.59,309.46,16336500.0,309.2353184187,306.925320961,308.785,308.4270687683,16336547.0,1.0,0.0,MSFT,XNAS,2023-05-15
310.55,310.65,306.6,308.97,19774699.0,309.9787085293,305.9374602771,308.296,309.8789246218,19774696.0,1.0,0.0,MSFT,XNAS,2023-05-12
310.1,311.12,306.2601,310.11,31680180.0,310.4476928944,305.5982947756,309.4336,309.4298970383,31680179.0,1.0,0.0,MSFT,XNAS,2023-05-11
308.62,313.0,307.67,312.31,30078039.0,312.3236303546,307.0051480869,311.6288,307.9530952078,30078044.0,1.0,0.0,MSFT,XNAS,2023-05-10
308.0,310.04,306.31,307.0,21340830.0,309.3700266938,305.6480869455,306.3303,307.3344349816,21340829.0,1.0,0.0,MSFT,XNAS,2023-05-09
310.13,310.2,306.09,308.65,21318609.0,309.5296809457,305.4285623491,307.9767,309.4598322105,21318613.0,1.0,0.0,MSFT,XNAS,2023-05-08
305.72,311.97,304.27,310.65,28197051.0,311.2958561078,303.6124952333,309.9724,305.0593618914,28197052.0,1.0,0.0,MSFT,XNAS,2023-05-05
306.24,307.7626,303.4,305.41,22519910.0,307.0975479853,302.7443752383,304.7438,305.5782382102,22519907.0,1.0,0.0,MSFT,XNAS,2023-05-04
306.62,308.61,304.09,304.4,22360750.0,307.9431168171,303.4328841998,303.736,305.9574170586,22360754.0,1.0,0.0,MSFT,XNAS,2023-05-03
307.76,309.18,303.91,305.41,26404430.0,308.5118850896,303.2532731664,304.7438,307.0949536037,26404431.0,1.0,0.0,MSFT,XNAS,2023-05-02
306.97,308.6,305.15,305.56,21294119.0,307.9331384263,304.4905936189,304.8935,306.3066607347,21294115.0,1.0,0.0,MSFT,XNAS,2023-05-01
304.01,308.93,303.31,307.26,36446700.0,308.93,303.31,307.26,304.01,36469613.0,1.0,0.0,MSFT,XNAS,2023-04-28
295.97,305.2,295.25,304.83,46350000.0,305.2,295.25,304.83,295.97,46462638.0,1.0,0.0,MSFT,XNAS,2023-04-27
296.7,299.57,292.73,295.37,64532500.0,299.57,292.73,295.37,296.7,64481117.0,1.0,0.0,MSFT,XNAS,2023-04-26
279.51,281.6,275.37,275.42,43772500.0,281.6,275.37,275.42,279.51,45772236.0,1.0,0.0,MSFT,XNAS,2023-04-25
282.09,284.95,278.72,281.77,26590300.0,284.95,278.72,281.77,282.09,26611014.0,1.0,0.0,MSFT,XNAS,2023-04-24
285.01,286.27,283.06,285.76,21665400.0,286.27,283.0608,285.76,285.01,21676387.0,1.0,0.0,MSFT,XNAS,2023-04-21
285.25,289.03,285.08,286.11,23214000.0,289.03,285.08,286.11,285.25,23244363.0,1.0,0.0,MSFT,XNAS,2023-04-20
285.99,289.05,284.54,288.45,17114800.0,289.05,284.54,288.45,285.99,17150271.0,1.0,0.0,MSFT,XNAS,2023-04-19
291.57,291.76,287.01,288.37,20149400.0,291.755,287.01,288.37,291.57,20161845.0,1.0,0.0,MSFT,XNAS,2023-04-18
289.93,291.6,286.16,288.8,23818000.0,291.6,286.16,288.8,289.93,23791151.0,1.0,0.0,MSFT,XNAS,2023-04-17
287.0,288.48,283.69,286.14,20973900.0,288.48,283.69,286.14,287.0,20987917.0,1.0,0.0,MSFT,XNAS,2023-04-14
283.59,289.9,283.17,289.84,24205200.0,289.9,283.17,289.84,283.59,24222678.0,1.0,0.0,MSFT,XNAS,2023-04-13
284.79,287.01,281.96,283.49,27373400.0,287.01,281.96,283.49,284.79,27403432.0,1.0,0.0,MSFT,XNAS,2023-04-12
285.75,285.98,281.64,282.83,27254900.0,285.98,281.64,282.83,285.75,27276589.0,1.0,0.0,MSFT,XNAS,2023-04-11
289.21,289.6,284.71,289.39,23079400.0,289.6,284.71,289.39,289.208,23102994.0,1.0,0.0,MSFT,XNAS,2023-04-10
283.21,292.08,282.03,291.6,29770334.0,292.08,282.03,291.6,283.21,29770334.0,1.0,0.0,MSFT,XNAS,2023-04-06
285.85,287.15,282.92,284.34,22028700.0,287.15,282.92,284.34,285.85,22064770.0,1.0,0.0,MSFT,XNAS,2023-04-05
287.23,290.4499,285.67,287.18,24682420.0,290.4499,285.67,287.18,287.23,25824299.0,1.0,0.0,MSFT,XNAS,2023-04-04
286.52,288.27,283.95,287.23,24868400.0,288.27,283.95,287.23,286.52,24883342.0,1.0,0.0,MSFT,XNAS,2023-04-03
283.73,289.27,283.0,288.3,32740300.0,289.27,283.0,288.3,283.73,32765976.0,1.0,0.0,MSFT,XNAS,2023-03-31
284.23,284.46,281.48,284.05,25023700.0,284.46,281.48,284.05,284.23,25053410.0,1.0,0.0,MSFT,XNAS,2023-03-30
278.96,281.14,278.41,280.51,25054100.0,281.1398,278.41,280.51,278.96,25087032.0,1.0,0.0,MSFT,XNAS,2023-03-29
275.79,276.14,272.05,275.23,21856400.0,276.14,272.0451,275.23,275.79,21878647.0,1.0,0.0,MSFT,XNAS,2023-03-28
280.5,281.46,275.52,276.38,26808900.0,281.4589,275.52,276.38,280.5,26840212.0,1.0,0.0,MSFT,XNAS,2023-03-27
277.24,280.63,275.28,280.57,28172000.0,280.63,275.28,280.57,277.24,28199962.0,1.0,0.0,MSFT,XNAS,2023-03-24
277.94,281.06,275.2,277.66,36590300.0,281.06,275.2,277.66,277.94,36610879.0,1.0,0.0,MSFT,XNAS,2023-03-23
273.4,281.04,272.18,272.29,34731100.0,281.04,272.18,272.29,273.4,34873330.0,1.0,0.0,MSFT,XNAS,2023-03-22
274.88,275.0,269.52,273.78,34531100.0,275.0,269.5191,273.78,274.88,34558704.0,1.0,0.0,MSFT,XNAS,2023-03-21
276.98,277.48,269.85,272.23,43438200.0,277.48,269.85,272.23,276.98,43466649.0,1.0,0.0,MSFT,XNAS,2023-03-20
278.26,283.33,276.32,279.43,69492200.0,283.33,276.3201,279.43,278.26,69527371.0,1.0,0.0,MSFT,XNAS,2023-03-17
265.205,276.5,263.28,276.2,54832140.0,276.56,263.28,276.2,265.205,54832140.0,1.0,0.0,MSFT,XNAS,2023-03-16
259.98,266.48,259.21,265.44,45975900.0,266.48,259.21,265.44,259.98,46028047.0,1.0,0.0,MSFT,XNAS,2023-03-15
256.75,261.07,255.86,260.79,33594200.0,261.07,255.86,260.79,256.75,33620293.0,1.0,0.0,MSFT,XNAS,2023-03-14
247.4,257.9,245.75,253.92,33339721.0,257.91,245.73,253.92,247.4,33339721.0,1.0,0.0,MSFT,XNAS,2023-03-13
251.08,252.79,247.6,248.59,28321800.0,252.79,247.6,248.59,251.08,28333930.0,1.0,0.0,MSFT,XNAS,2023-03-10
255.82,259.56,251.58,252.32,26620700.0,259.56,251.58,252.32,255.82,26653387.0,1.0,0.0,MSFT,XNAS,2023-03-09
254.04,254.54,250.81,253.7,17318400.0,254.5417,250.81,253.7,254.04,17340217.0,1.0,0.0,MSFT,XNAS,2023-03-08
256.3,257.68,253.39,254.15,21473179.0,257.69,253.39,254.15,256.3,21473179.0,1.0,0.0,MSFT,XNAS,2023-03-07
256.43,260.12,255.98,256.87,24088400.0,260.12,255.98,256.87,256.425,24109849.0,1.0,0.0,MSFT,XNAS,2023-03-06
252.19,255.62,251.39,255.29,30741300.0,255.62,251.39,255.29,252.19,30760136.0,1.0,0.0,MSFT,XNAS,2023-03-03
246.55,251.4,245.61,251.11,24808200.0,251.4,245.61,251.11,246.55,24833646.0,1.0,0.0,MSFT,XNAS,2023-03-02
250.76,250.93,245.79,246.27,27501900.0,250.93,245.79,246.27,250.76,27565259.0,1.0,0.0,MSFT,XNAS,2023-03-01
249.07,251.49,248.73,249.42,22467600.0,251.49,248.73,249.42,249.07,22490950.0,1.0,0.0,MSFT,XNAS,2023-02-28
252.46,252.79,249.39,250.16,21164969.0,252.82,249.39,250.16,252.46,21190042.0,1.0,0.0,MSFT,XNAS,2023-02-27
249.96,251.0,248.1,249.22,24978700.0,251.0,248.1,249.22,249.96,24990905.0,1.0,0.0,MSFT,XNAS,2023-02-24
255.56,256.84,250.48,254.77,29187700.0,256.84,250.48,254.77,255.56,29219095.0,1.0,0.0,MSFT,XNAS,2023-02-23
